player,avg,hit,homerun,rbi
강백호,0.374,138,14,86
이정후,0.361,118,4,56
양의지,0.336,116,23,85
박건우,0.331,104,3,44
홍창기,0.325,119,4,40
황재균,0.318,95,10,44
페르난데스,0.314,118,12,63
강민호,0.313,99,14,56
정훈,0.312,114,11,59
안치홍,0.311,93,9,61
전준우,0.306,121,6,65
손아섭,0.302,119,1,37
피렐라,0.299,132,25,86
김혜성,0.297,126,3,50
최원준,0.295,122,4,34
구자욱,0.294,120,17,71
이용규,0.289,98,0,33
박해민,0.289,108,5,46
허경민,0.286,106,4,41
나성범,0.286,116,28,78
김현수,0.285,101,14,63
심우준,0.284,85,6,40
김선빈,0.284,104,3,44
최정,0.283,91,27,78
양석환,0.281,107,23,72
정은원,0.280,106,5,33
김재환,0.279,93,20,79
하주석,0.279,110,7,50
김태진,0.279,85,0,27
오재일,0.268,80,17,64
